Region,Population,Latitude,Longitude
Baja,BaC,26.59,-111.79
Baja,Ctv,29.73,-114.72
Baja,LaV,24.04,-109.99
Baja,Lig,25.73,-111.27
Baja,PtC,24.19,-111.15
Baja,PtP,29.03,-113.9
Baja,SLG,29.59,-114.4
Baja,SnE,24.45,-110.7
Baja,SnF,30.76,-114.73
Baja,SnI,27.29,-113.02
Baja,StR,24.91,-111.62
Baja,TsS,23.58,-110.34
Sonora,CP,27.95,-110.66
Sonora,LF,30.68,-112.27
Sonora,PL,30.39,-112.58
Sonora,SG,29.4,-112.05
Sonora,SI,29.75,-112.5
Sonora,SN,28.82,-111.8
Sonora,SenBas,31.95,-112.87
Sonora,Seri,28.88,-111.96
Sonora,TS,28.41,-111.37
Sonora,IC,26.59,-112.32
Baja,Cabo,22.93,-109.839
Baja,LAL,23.27,-109.76
Baja,SnJ,23.02,-109.72
Sonora,MG,30.64,-110.98
Baja,ELR,23.50,-109.48
